clv_segment,customer_count,total_historical_clv,average_historical_clv,median_historical_clv,minimum_historical_clv,maximum_historical_clv,clv_value_share,customer_share
High,24860,9416402.07,378.77723531777957,264.23,176.01,13664.08,0.5943365056663261,0.2499974859464406
Low,24874,1024405.69,41.18379392136367,42.58,0.0,61.050000000000004,0.06465757235654039,0.25013827294576685
Medium,49707,5402745.48,108.69184380469552,104.56,61.06,176.0,0.3410059219771335,0.49986424110779254
